muni_id,type_of_violence,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best_est,year,month
484008035,2,0,0,0,43,43,2008,8
484008035,2,0,0,0,1647,1647,2009,1
484008035,2,0,0,0,44,44,2009,10
484008035,2,0,0,0,26,26,2009,11
484008035,2,0,0,1,42,43,2009,12
484008035,2,0,0,0,17,17,2009,2
484008035,2,0,20,0,0,20,2009,3
484008035,2,0,0,0,3,3,2009,4
484008035,2,0,0,0,10,10,2009,5
484008035,2,0,0,0,46,46,2009,6
484008035,2,0,0,0,41,41,2009,7
484008035,2,0,0,0,59,59,2009,8
484008035,2,0,0,0,74,74,2009,9
484008035,2,0,0,0,208,208,2010,1
484008035,2,0,0,0,247,247,2010,10
484008035,2,0,0,0,128,128,2010,11
484008035,2,0,0,0,22,22,2010,12
484008035,2,0,0,0,181,181,2010,2
484008035,2,0,0,1,170,171,2010,3
484008035,2,0,0,0,233,233,2010,4
484008035,2,0,0,0,228,228,2010,5
484008035,2,0,0,0,236,236,2010,6
484008035,2,2,0,0,256,258,2010,7
484008035,2,0,0,0,296,296,2010,8
484008035,2,0,0,0,286,286,2010,9
484008046,2,0,0,0,0,0,2009,2
484008050,2,0,0,0,0,0,2010,1
484008050,2,0,0,0,0,0,2010,8
484008051,2,0,0,0,0,0,2009,2
484008051,2,0,0,0,0,0,2009,8
484008051,2,0,0,0,1,1,2009,9
484008051,2,0,0,0,2,2,2010,3
484008057,2,0,0,0,0,0,2009,12
484008064,2,0,0,0,0,0,2009,12
484009001,3,0,0,3,0,3,1997,9
484010001,2,0,0,0,1,1,2007,10
484010001,2,0,0,0,2,2,2007,11
484010001,2,0,0,0,7,7,2007,12
484010001,2,0,0,0,1,1,2007,6
484010001,2,0,0,0,2,2,2007,7
484010001,2,0,0,0,2,2,2007,9
484010001,2,0,0,0,5,5,2008,5
484010001,2,0,0,0,0,0,2009,1
484010005,2,0,0,0,2,2,2007,6
484010005,2,0,0,0,24,24,2010,1
484010007,2,0,0,0,12,12,2009,2
484010007,2,0,0,0,20,20,2009,8
484010012,2,0,0,0,1,1,2007,12
484010012,2,0,0,0,4,4,2010,5
484010016,2,0,0,0,4,4,2008,5
