muni_id,GQ,UNREL,URBAN,OWNERSHIP,OWNERSHIPD,ELECTRIC,WATSUP,SEWAGE,FUELCOOK,TRASH,ROOMS,BEDROOMS,KITCHEN,TOILET,FLOOR,HHTYPE,NFAMS,NCOUPLES,NMOTHERS,NFATHERS,PERNUM,PERWT,FAMSIZE,NCHILD,NCHLT5,ELDCH,YNGCH,AGE,SEX,MARST,MARSTD,CHBORN,CHSURV,LASTBMO,LASTBYR,LASTBMORT,NATIVITY,BPLCOUNTRY,BPLMX,INDIG,SCHOOL,LIT,EDATTAIN,EDATTAIND,YRSCHOOL,EMPSTAT,EMPSTATD,LABFORCE,OCCISCO,INDGEN,CLASSWK,CLASSWKD,weight
484026043,0.0006742633672712562,6.91652529492117e-06,0.00013397611860374136,8.95483790142331e-05,0.010215710871336523,7.374071443092126e-05,0.000953970815773776,0.0008832283662412375,0.002067253540153322,0.0008780791441262698,0.0002911547043152383,0.0001735475378708222,0.001349872534408678,0.0014767622360757162,0.01384905825344699,0.0004477638304476994,7.515662148091072e-05,5.920186084319535e-05,7.085083609894095e-05,5.5185536410388073e-05,0.0002001874075130601,0.0011503655536735898,0.00032197046750193173,5.6225531321346306e-05,1.6766799674890364e-05,0.004469173829767458,0.004353193322029924,0.0018560261866623975,0.00010089628047441593,0.00010643388778565965,0.011142629776473562,0.00445031327689714,0.005064850484815499,0.005214908245156514,0.5455318810682964,2.313494055646507e-05,7.113255515050325e-05,1.513344406314275,0.0017692244608745415,0.00011482653488968283,0.00010263519669650202,0.00011289192070048094,0.0001255611060177621,0.013624702792153262,0.0015354742068429887,8.849634115145234e-05,0.01012622012644887,0.00028532161457892085,0.0041650669307671095,0.002525334309364113,5.7754556097382914e-05,0.006067436116464217,6.742633672712562e-05
484026044,0.021052631578947368,0.00014626038781163434,0.002105263157894737,0.002300277008310249,0.25301274238227145,0.002185041551246537,0.030949584487534626,0.027966759002770084,0.07826260387811634,0.030262603878116343,0.007264265927977839,0.003957894736842105,0.04086426592797784,0.04318670360110803,0.3805074792243767,0.009342936288088643,0.0022382271468144046,0.0017817174515235457,0.0018614958448753462,0.0016753462603878117,0.0062980609418282546,0.002105263157894737,0.010304709141274238,0.0018481994459833796,0.00034570637119113576,0.14951357340720223,0.14567534626038783,0.09609307479224377,0.003044875346260388,0.0033240997229916896,0.3447091412742382,0.14280332409972302,0.16266814404432134,0.16649750692520776,17.391787257617725,0.0006072022160664819,0.0021761772853185596,47.13297728531855,0.0548786703601108,0.0038470914127423823,0.0034304709141274236,0.0036653739612188367,0.003434903047091413,0.38181939058171743,0.03236343490304709,0.0033861495844875345,0.38430581717451523,0.00845207756232687,0.14809972299168975,0.029460387811634348,0.0011966759002770082,0.12491523545706372,0.002105263157894737
484026045,0.003816793893129771,6.054035014337056e-06,0.0003816793893129771,0.000512391508940709,0.057830619107635234,0.00043300109522997074,0.005699186007473981,0.006162594869480509,0.013950698140310516,0.006426908534538269,0.0018907852083413594,0.0008823756033396259,0.007585843464669201,0.008227983951303542,0.07203792577753072,0.0024216140057348222,0.0003922739505880669,0.00032320291474267595,0.000399703902651117,0.00030903096914093245,0.0011322421393859007,0.00042405763441333646,0.0018673946185132392,0.00032237736451344823,6.71447519771928e-05,0.02628097877235177,0.025542936867422133,0.011683599619146159,0.0005590350968920785,0.0006118703115626565,0.06386525369158544,0.026106787673984708,0.02906624765406143,0.029878589079621563,3.1240822633285084,0.00013635337952745506,0.0003976400270780475,8.56197777068416,0.010132528330132033,0.0006803909805885623,0.0006220520977231324,0.0006545237400727585,0.0005971479991414277,0.06597783672817933,0.006490200718779066,0.0005688041079379406,0.06384131273493783,0.0015642800926817723,0.02530050028343891,0.00725149562183195,0.00029595975717815925,0.03145373891698817,0.0003816793893129771
484026046,0.025252525252525256,2.5507601265177026e-05,0.0025252525252525255,0.002844097541067238,0.3136287113559841,0.002633659830629528,0.031081012141618205,0.029448525660646874,0.07923936333027243,0.030647382920110194,0.011548566472808898,0.00617283950617284,0.05037751249872462,0.05209927558412407,0.5202912968064484,0.01045811651872258,0.0025507601265177026,0.0021808999081726357,0.0029843893480257116,0.0021681461075400473,0.00702734414855627,0.0025252525252525255,0.01149117436996225,0.002059738802163045,0.00028696051423324155,0.1661692684419957,0.1622155902458933,0.09618278747066626,0.0038006325885113768,0.004406438118559331,0.458454494439343,0.15013136414651565,0.1846240179573513,0.1906948270584634,19.98362411998776,0.0006823283338434854,0.0025826446280991736,55.82070707070708,0.0689406693194572,0.004731660034690338,0.004438322620140802,0.0047762983369043985,0.004489337822671156,0.48861723293541476,0.03383583307825732,0.004699775533108867,0.5306218753188451,0.007480104071013163,0.1681524844403632,0.05811906948270585,0.0019003162942556884,0.20486429956126928,0.0025252525252525255
484026047,0.0037764350453172208,1.6245391504039577e-05,0.0006980158192179848,0.0005187392652597002,0.05926615690772189,0.0004562316167314668,0.006258475228994048,0.005765835793231955,0.011675653584261134,0.005473336282242979,0.001802702441492676,0.001157092441060565,0.007571465703752008,0.008109913844998843,0.07916296816002222,0.0015662371616051965,0.00039314672078938416,0.00034610105656068075,0.0003943836795333466,0.0003314224794656602,0.0010955743595275015,0.0014928855080882258,0.0017931366272060335,0.0003409882937523028,7.013556078266833e-05,0.024609500370922695,0.023889590381936575,0.010849942390708097,0.0005608783264706862,0.0005879677229634629,0.06137636729296361,0.025554248227603046,0.02876716610112913,0.029258815969896053,3.0668792668891873,0.00019346034755572005,0.0003825088755913075,8.371174705084295,0.009435603762861485,0.0006760804174917181,0.0005868544600938967,0.0006509289230311493,0.0007070868500070424,0.07731091106464544,0.007121295184865958,0.0005379533577492496,0.05986921552736169,0.0014993589255149623,0.02365456822058372,0.010323286589487038,0.00029200472749139157,0.03091131038791356,0.00037764350453172205
484026048,0.0020798668885191347,6.219821534428887e-06,0.00040267055559569477,0.00043084471943761213,0.04818040970679653,0.00023376368119047445,0.002883974886797275,0.002928031544961842,0.006471287784601968,0.002773394253188741,0.000948229303127052,0.0006151359105485292,0.004185426917698729,0.0045588381700888475,0.045572849410633186,0.001380775718384948,0.0002143248892260143,0.00019591697965703046,0.0002279483206915913,0.000186017549189466,0.0006358719372977275,0.002958765651211665,0.0010544940415392137,0.0001904074311606331,4.1442458788478597e-05,0.013699085409030656,0.013268265351851308,0.005603837242196042,0.00031040904742639077,0.00033345839400084456,0.03495851926538669,0.013875440285431901,0.015713883395343457,0.0160399332469615,1.6797663227353623,9.061900176885608e-05,0.00021833003996824763,4.667745725961588,0.004944028117026322,0.00036601750736227595,0.0003218030107448132,0.00035922552143609945,0.00038904219167846475,0.042489095434534586,0.004271473536785258,0.00031464109094466196,0.03575267357622909,0.0008678500709898171,0.013710405385574283,0.007075000137122156,0.00013887317629012318,0.014710435295961107,0.00020798668885191348
484026049,0.0037243947858472994,1.2429715608106886e-05,0.0003724394785847299,0.0005244210012474914,0.05869955795411401,0.0004531196326228056,0.006206721990200864,0.006737583844081647,0.016677514418470103,0.008681026378116468,0.0014122416879101805,0.0009431894198260744,0.006686057023015312,0.0071302498598832045,0.07037162589719946,0.002202206613512683,0.0003876941295583157,0.0003244155773715897,0.0003520999439532823,0.00030181609444775897,0.001074831407857388,0.0005105223192493355,0.0017539458697185008,0.0003049800220570953,4.847589087161685e-05,0.026110877583120896,0.02536543363887834,0.01384523422104102,0.0005415966082696027,0.0005935754189944133,0.06172653269693189,0.02520780224548462,0.028372407839308632,0.029112088915405614,3.0402817703530944,0.0001459926596879463,0.00038147927175426227,8.304083952559164,0.009658228019742908,0.0006764025239102528,0.0006310905606479723,0.0006310905606479723,0.0007105277431252372,0.07895829943410895,0.006390794778615465,0.0006359494494765958,0.07183290846305436,0.0013724665979642384,0.02616613331886966,0.006692497875648604,0.00024294444143118003,0.025610751026016523,0.0003724394785847299
484026050,0.006349206349206349,1.2093726379440666e-05,0.0006349206349206349,0.0007699672461577223,0.08568122952884857,0.0006494331065759637,0.007797631645250693,0.00925976316452507,0.021234567901234565,0.008848173343411439,0.0024260015117157975,0.0013488536155202822,0.012488788107835727,0.012749206349206349,0.12451216931216932,0.003834920634920635,0.0006502393550012598,0.000508742756361804,0.0005426051902242379,0.0004668178382464097,0.0016628873771730914,0.0006349206349206349,0.0026666666666666666,0.00047891156462585036,8.828420256991687e-05,0.044846762408667175,0.043857898715041574,0.024726832955404385,0.0009336356764928194,0.001037238599143361,0.10789014865205342,0.04187331821617536,0.0474626354245402,0.04889977324263039,5.1205800957420005,0.0002962962962962963,0.0006413706223230033,14.044153791887124,0.016740539178634415,0.001164625850340136,0.0010807760141093475,0.0011235071806500378,0.0010424792139077854,0.11512542202066012,0.009684252960443437,0.0010811791383219954,0.12287467876039306,0.002237742504409171,0.04299198790627362,0.011044394053917862,0.0004019148400100781,0.04326288737717309,0.0006349206349206349
484026051,0.004032258064516129,1.2032157053814936e-05,0.0005998253109049964,0.0004884907218700052,0.05497499985145485,0.0004899761733581305,0.005859660485207874,0.006809532439289597,0.016569320079144852,0.00707097190119965,0.001707229395302408,0.0007474791888246513,0.007467067540508262,0.007774853088847825,0.07006265634376913,0.0018989269098449782,0.0004152579635054278,0.0003648268854835739,0.0003877771109751098,0.0003555428136827907,0.0012275771097867486,0.0015851995555529147,0.0020315777277345676,0.000363192888846636,6.49885026054819e-05,0.027665197059994415,0.02687204023790991,0.013514414821240769,0.0005932893243572452,0.0006242609878846576,0.06491378439562921,0.027304455166103185,0.030965201813439175,0.03196349948603378,3.3315080600597744,0.00017817990600062981,0.0004115443347851146,8.971591260197625,0.010248129816576449,0.0007291338629463039,0.000642829131486224,0.0006670419907426663,0.000711234172514394,0.07877520068449605,0.006624222366145966,0.0006707556194629796,0.07651634887907831,0.0015503657181563765,0.029224772577377166,0.005603717193803885,0.00024547085841270595,0.02611015216965044,0.0004032258064516129
484026052,0.0040128410914927765,3.903296951248072e-06,0.0006402036564071234,0.0005151092847598667,0.05802660134646116,0.00041255330518594544,0.004885857524121116,0.00502958699089046,0.013882453345528406,0.005661795184187768,0.0020727765939176058,0.0010165570301903651,0.007979220357985213,0.008332216906463406,0.07859200272374578,0.0019692133119046528,0.00040518740610052576,0.00035463341494161924,0.00039404412286873686,0.00031786687591696,0.0011536131183011238,0.0011804325457403445,0.0019001501384285375,0.00034575656219765184,5.21908576223331e-05,0.027970522301424175,0.02723953551269931,0.01727334813732151,0.0005961971311019234,0.0006395740923827285,0.06645413424621795,0.02611544894714231,0.03018992435662334,0.031092593254800675,3.2570621974000513,0.00017281532469638644,0.0004098461798810476,8.924013762773223,0.0105140339894062,0.0007419412027493313,0.0006674637786634205,0.0007189621158589192,0.0007256984509199442,0.07981039798015714,0.006709830415597876,0.0006723743780537003,0.0751783177142696,0.0014787199804986247,0.027111293320930083,0.011787453141549664,0.0002999243012217068,0.03194275651334348,0.0004012841091492777
